"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"AXA Venture Partners (AVP)","Strategic / Corporate VC","Insurer-backed venture platform (AXA anchor LP; independent management since 2024)","France","Paris (also London, New York)","https://www.axavp.com/","https://www.linkedin.com/company/axa-venture-partners","","","","","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: official contact page shows no telephone number)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Multi-stage technology investing (early stage from Series A, growth, late stage, fund-of-funds) in enterprise software, fintech/insurtech, digital health and consumer technology; backed by AXA as anchor investor","Digital health and health-services software as one of several verticals (insurance-adjacent health, care navigation, hospital services)","B2B SaaS, data/AI, insurtech, digital health","Europe and North America (offices Paris, London, New York)","Series A and later (early-stage fund invests from Series A; growth fund Series B+); no pre-seed","USD 1m–20m depending on fund (ESTIMATE)","USD 2bn+ under management across funds (ESTIMATE per AVP website claims; TO VALIDATE)","Health/insurtech holdings listed on axavp.com (e.g., French hospital-services platform Happytal; other digital-health names TO VALIDATE on portfolio page)","François Robinet","Managing Partner, AVP – confirm on team page","https://www.axavp.com/people/","Web pitch form: https://www.axavp.com/submit/ (official submission page); London office via https://www.axavp.com/project-type/london/","Possible – via AXA Health (UK) or AXA Partners health-services teams, or a portfolio founder","https://www.axavp.com/;https://www.axavp.com/contact/;https://www.axavp.com/submit/;https://www.axavp.com/people/;https://www.axavp.com/legals/","2026-09-07","Contact page (checked today) lists no phone; only a data-privacy email (dataprivacy@axavp.com) which is not a pitching address. Registered office 10 boulevard Haussmann, 75009 Paris. AVP rebranded as an independent manager in 2024 with AXA as anchor LP – confirm the current relationship before positioning it as an AXA strategic.","AVP is one of the few insurer-anchored funds with a London office and a stated digital-health vertical, and AXA Health is a UK private medical insurer that could become a MaternaLink distribution partner.","AVP invests from Series A with institutional-size tickets, so a pre-formation UK health-tech with no product in production is several rounds too early.","Use the submission form now purely to get on the radar for a future Series A, framing MaternaLink as a maternal care-coordination product that an insurer could bundle for members, and ask for an introduction to AXA Health's proposition team instead of a cheque.","12","4","5","8","8","3","3","7","0","2","1","0","1","1","1"
"Aviva Ventures","Strategic / Corporate VC","UK insurer corporate venture arm (Aviva plc)","United Kingdom","London","https://www.aviva.com/","https://www.linkedin.com/company/aviva-plc","","+44 (0)20 7283 2000","","https://www.aviva.com/about-us/corporate-contacts/","VERIFIED 2026-09-07 (source in phone_source_url) – Aviva plc corporate switchboard, 80 Fenchurch Street, NOT a ventures-team line","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Strategic minority investments in start-ups relevant to Aviva's insurance, health, wealth and retirement businesses (insurtech, connected home, health and wellbeing, data)","Digital health, wellbeing and health-services propositions that can be offered to Aviva UK Health & Protection customers","Insurtech, IoT, data analytics, digital health","United Kingdom primarily; some Europe/North America","Seed to Series B strategic minority stakes (historic activity); current deployment pace TO VALIDATE","£0.5m–£5m (ESTIMATE from historic deals)","Launched 2015 with a stated commitment of circa £20m over five years (prior knowledge; current allocation TO VALIDATE)","Historic investments in Cocoon (connected home security) and Neos (insurtech) per press coverage; health-tech holdings TO VALIDATE on official pages","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Corporate switchboard +44 (0)20 7283 2000 and corporate contacts page https://www.aviva.com/about-us/corporate-contacts/; LinkedIn to Aviva Ventures / Aviva UK Health innovation staff","Possible – via Aviva UK Health & Protection partnerships team or an Aviva-backed founder","https://www.aviva.com/about-us/corporate-contacts/;https://www.aviva.co.uk/services/about-our-business/about-us/aviva-company-details/;https://www.aviva.com/investors/investor-relations-contacts/","2026-09-07 (phone/address); investment activity Unverified (prior knowledge)","Aviva Ventures has been publicly quiet since around 2020; confirm it is still making new investments before spending effort. Registered office 80 Fenchurch Street, London EC3M 4AE (company no. 2468686). Aviva does not run a single switchboard covering every product, so ask for Aviva Ventures / group strategy.","Aviva is the UK's largest insurer with a private-medical-insurance and wellbeing app business, so a strategic stake could come with distribution of MaternaLink's maternal support content to insured employees.","Aviva Ventures appears largely dormant and historically backed later-stage insurtech, so a pre-seed maternal-health platform with no product live is unlikely to fit its current agenda.","Approach Aviva UK Health's proposition team first with a pilot proposal for maternity wellbeing support to corporate PMI members, and only then ask whether Aviva Ventures would co-invest alongside a lead angel/SEIS round.","12","7","8","10","11","5","2","6","1","0","0","0","1","1","1"
"Legal & General Capital (now within L&G Asset Management – Private Markets)","Strategic / Corporate VC","Insurer balance-sheet / strategic investor (Legal & General Group)","United Kingdom","London","https://am.landg.com/","https://www.linkedin.com/company/legal-and-general","","+44 (0)20 3124 3000","","https://am.landg.com/en-uk/institutional/contact/","VERIFIED 2026-09-07 (source in phone_source_url) – Legal & General group switchboard, One Coleman Street, NOT an investment-team line","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Long-term balance-sheet investment in housing, urban regeneration, clean energy, science & technology real estate, later-living and selected growth companies (e.g., fintech, health and later-living services)","Health and later-living infrastructure (Inspired Villages, Guild Living), life-sciences real estate (Bruntwood SciTech JV), selective health-services growth investments","Limited direct early-stage tech; growth-stage fintech and infrastructure-linked technology","United Kingdom","Growth / later stage and platforms; direct early-stage venture activity is limited","£5m+ (ESTIMATE); pre-seed tickets not typical","Part of Legal & General's circa £1.1tn AUM group; LGC deployed several £bn of shareholder capital (prior knowledge; TO VALIDATE)","Bruntwood SciTech (science-park JV), Inspired Villages and Guild Living (later living), Salary Finance and Pod Point (growth investments) – prior knowledge, confirm on official pages","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Institutional contact page https://am.landg.com/en-uk/institutional/contact/ and group switchboard; LinkedIn to L&G Asset Management private-markets / venture staff","Possible – via Bruntwood SciTech campus teams or an L&G-backed founder","https://am.landg.com/en-uk/institutional/contact/;https://pitchbook.com/profiles/limited-partner/156705-40","2026-09-07 (phone/address); investment activity Unverified (prior knowledge)","In 2024 Legal & General reorganised, folding Legal & General Capital into L&G Asset Management's private-markets business, so the 'LGC' brand may no longer be the correct door – confirm current structure. Low fit for a pre-seed cheque; value is mainly as a future strategic/LP and as owner of science-park space via Bruntwood SciTech.","L&G is a UK insurer with a stated health and later-living investment strategy and science-park assets, which could offer MaternaLink credibility and workspace even if a direct pre-seed cheque is unlikely.","L&G deploys large balance-sheet tickets into platforms and infrastructure, and a pre-formation health-tech with no revenue is far below its minimum investment size.","Position Vytalix for the Bruntwood SciTech ecosystem (Manchester/Birmingham/Leeds health campuses) and L&G's health-and-wellbeing agenda, asking for ecosystem support now and flagging a possible Series A conversation later.","8","3","3","10","8","3","2","6","1","1","0","0","1","1","1"
"Unilever Ventures","Strategic / Corporate VC","Consumer-goods corporate VC (Unilever)","United Kingdom","London","https://www.unileverventures.com/","https://www.linkedin.com/company/unilever-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: official contact page shows address and email only)","NOT PUBLICLY AVAILABLE","uv.admin@unilever.com","https://www.unileverventures.com/contact/","Venture investments in consumer brands (beauty, personal care, wellness, nutrition) and the digital/technology platforms that serve them","Consumer health and wellbeing brands (supplements, skincare, femtech-adjacent consumer products) rather than clinical or regulated digital health","Direct-to-consumer, digital commerce, consumer data and personalisation","Europe, North America, selectively Asia; London-based team","Seed to Series B (evergreen corporate fund)","£1m–£10m (ESTIMATE)","Evergreen; several hundred £m invested since 2002 (ESTIMATE; TO VALIDATE)","Nutrafol and Gallinée (health and wellness consumer brands) among others – prior knowledge, confirm on portfolio page","Olivier Garel","Managing Director / Head of Unilever Ventures – confirm on team page","https://www.unileverventures.com/","Email uv.admin@unilever.com (official contact page); office 52 Conduit Street, London W1S 2YX; LinkedIn to investment team","Possible – via a Unilever Ventures portfolio founder or Unilever's UK health & wellbeing brand teams","https://www.unileverventures.com/contact/;https://www.unileverventures.com/;https://find-and-update.company-information.service.gov.uk/company/04918638","2026-09-07 (contact details); portfolio Unverified (prior knowledge)","Unilever Ventures Limited is a UK company (no. 04918638). Its thesis is consumer brands and enabling tech, not maternal-health software or government contracts; fit is via consumer maternal wellbeing content/e-learning only.","Unilever Ventures is a London-based, seed-capable corporate fund with a health-and-wellbeing consumer thesis, reachable by a published email, and its Nigeria/Africa consumer footprint aligns with Vytalix's second market.","Vytalix is a B2B/B2G health platform rather than a scalable consumer brand, and its pre-formation stage offers no traction to underwrite.","Pitch only the consumer-facing maternal wellbeing and e-learning strand (subscription content for expectant mothers) as a brand-building opportunity, with the clinical coordination platform positioned as a later strategic adjacency.","8","8","8","10","6","4","3","5","0","1","1","1","1","1","1"
"Optum Ventures","Strategic / Corporate VC","Health-services / payer corporate VC (UnitedHealth Group's Optum)","United States","Boston, MA (75 State Street); UK entity in London","https://www.optumventures.com/","https://www.linkedin.com/company/optum-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: no telephone number shown on official site in search results)","NOT PUBLICLY AVAILABLE","hello@optumventures.com","https://www.optumventures.com/","Venture investments in digital health, health data and analytics, care delivery and health-system infrastructure that can partner with Optum and UnitedHealthcare","Digital health, care navigation, virtual and in-home care, health data/AI, payer and provider software","Health data, AI/ML, care-delivery platforms","United States primarily; has a UK entity (Optum Ventures Global Management UK Ltd) and Optum operates in the UK with NHS commissioners","Seed (selective) to growth; most deals Series A–C","USD 2m–25m (ESTIMATE)","Initial USD 250m fund (2017), subsequently expanded to circa USD 600m+ (ESTIMATE; TO VALIDATE)","Buoy Health, Mindstrong, DispatchHealth and other US digital-health companies (prior knowledge – confirm on portfolio page)","A.G. Breitenstein","Founding Partner, Optum Ventures – confirm on team page","https://www.optumventures.com/","Email hello@optumventures.com (per official site); LinkedIn to partners; Optum UK (NHS-facing business) as an alternative strategic door","Possible – via Optum UK health-system consulting staff or a portfolio founder","https://www.optumventures.com/;https://www.crunchbase.com/organization/optum-ventures;https://www.privateequityinternational.com/institution-profiles/optum-ventures.html","2026-09-07 (email/site); fund details Unverified (prior knowledge)","Confirm hello@optumventures.com on the official site before use (seen in search summary attributed to optumventures.com). US-centric thesis; UK relevance comes through Optum UK's NHS data/commissioning work rather than the fund's typical deals.","Optum is the largest health-services data business in the US and operates NHS-facing services in the UK, so its venture arm brings both capital and a route into commissioning and care-coordination buyers.","Optum Ventures backs US-market companies with data and traction, and a UK/Nigeria pre-seed maternal platform sits outside its market and stage.","Contact Optum UK's population-health team about maternal-pathway analytics and care-coordination pilots, using any resulting collaboration as the hook for a later Optum Ventures conversation at seed/Series A.","17","6","5","6","11","5","3","8","0","1","1","1","1","1","1"
"Allianz X","Strategic / Corporate VC","Insurer corporate VC / strategic investment arm (Allianz Group)","Germany","Munich","https://allianzx.com/","https://www.linkedin.com/company/allianz-x","","+49 89 3800 0","","https://www.allianz.com/de/impressum-allianz-se.html","VERIFIED 2026-09-07 (source in phone_source_url) – Allianz SE group switchboard (Königinstrasse 28), NOT an Allianz X team line","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Growth- and late-stage investments in scale-ups relevant to the insurance and asset-management ecosystem: insurtech, digital health, mobility, cyber, wealth and emerging-market financial inclusion","Digital health and health-insurance-adjacent platforms (telehealth, emerging-market micro-insurance with health cover)","Digital platforms, data/AI, embedded insurance","Global (Europe, North America, Asia, emerging markets)","Growth and late stage (Series B onward); no pre-seed/seed","EUR 10m–100m (ESTIMATE)","Circa EUR 1.5bn+ under management (ESTIMATE; TO VALIDATE)","BIMA (emerging-market mobile micro-insurance incl. health) and Halodoc (Indonesian telehealth) among health-relevant holdings – prior knowledge, confirm on portfolio page","Nazim Cetin","CEO, Allianz X – confirm on team page","https://allianzx.com/","Web contact page for investment pitches: https://allianzx.com/contact; Allianz SE switchboard for routing","Possible – via Allianz Partners / Allianz Care health-insurance teams or a BIMA-network contact in Africa","https://allianzx.com/contact;https://www.allianz.com/de/impressum-allianz-se.html;https://www.allianz.com/en/about-us/company/contact/germany.html","2026-09-07 (phone/contact page); fund details Unverified (prior knowledge)","Allianz X's own contact page (checked today) routes pitches through a form and shows no phone or street address; the recorded number is the Allianz SE group switchboard. Stage mismatch is severe: Allianz X targets scale-ups, so treat as a long-term strategic relationship rather than a pre-seed prospect.","Allianz X has backed emerging-market health-inclusive insurance (BIMA) and telehealth, and Allianz Care/Allianz Partners sell international health cover that could distribute maternal support in both the UK and Africa.","Allianz X writes eight-figure growth cheques into proven scale-ups, so a pre-formation UK company with no product in production cannot clear its stage or size threshold.","Do not pitch for money now; instead request a strategic conversation with Allianz Partners' health division about MaternaLink as a member-benefit pilot, keeping Allianz X informed for a Series B-era conversation.","10","2","2","7","8","4","3","7","1","2","1","0","1","1","1"
"Wayra UK (Telefónica)","Strategic / Corporate VC","Telecom corporate venture / accelerator investor (Telefónica Innovation Ventures)","United Kingdom","London","https://www.wayra.uk/","https://www.linkedin.com/company/wayra-uk","","","","","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: official site shows a contact form and privacy email only; scraped-directory numbers ignored)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Corporate open-innovation and venture programme of Telefónica/O2: scouts, accelerates and (selectively) invests small tickets in early-stage start-ups that can work with Telefónica and its corporate partners; runs sector programmes including healthcare AI with GE HealthCare","Digital health and healthcare AI via corporate-partner programmes (GE HealthCare AI accelerator; historic NHS-facing and MSD 'Velocity Health' programmes)","AI, connectivity/IoT, digital health, enterprise software","United Kingdom; programmes open to Europe, Middle East and Africa start-ups","Pre-seed and seed (accelerator-style); many programmes are equity-free scouting – confirm whether cash investment applies to the relevant programme","£25k–£150k where investment is made (ESTIMATE from historic Wayra terms)","Not disclosed; funded by Telefónica Innovation Ventures (prior knowledge)","UK health-tech alumni from Wayra/Velocity Health programmes (prior knowledge; confirm current portfolio on wayra.uk)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Web contact/apply forms on https://www.wayra.uk/ (programme calls; 'Contact us'); office Tintagel House, 92 Albert Embankment, London SE1 7TY","Possible – via Wayra UK alumni founders or GE HealthCare accelerator cohort companies","https://www.wayra.uk/we-are-wayra;https://www.wayra.uk/privacy-policy;https://www.wayra.uk/press-releases/ge-healthcare-wayra-uk-to-support-startups-to-develop-ai-applications-for-healthcare-with-new-accelerator-programme;https://find-and-update.company-information.service.gov.uk/company/08083534","2026-09-07 (site/contact route); programme terms Unverified (prior knowledge)","Wayra UK Limited is company no. 08083534 (Companies House). The site (checked today) lists privacy@wayra.org only, which is not a pitching address. Included as an investor because Wayra has historically taken equity for cash/services; verify that the specific programme applied to includes investment, otherwise it is an accelerator only.","Wayra UK is a London corporate programme that already runs a healthcare-AI accelerator with GE HealthCare and accepts pre-seed applicants from the UK and Africa, making it one of the few corporate doors open at Vytalix's stage.","Wayra programmes want a working product and a corporate use-case, and MaternaLink is still a prototype without a clinical partner, data or a defined Telefónica/GE angle.","Apply to the next healthcare-AI or EMEA call with a concrete O2/Telefónica connectivity or GE HealthCare monitoring angle for maternal care coordination in underserved UK communities, offering Nigeria as a second-market case study.","12","13","7","10","10","4","4","7","0","2","0","0","1","1","1"
"SC Ventures (Standard Chartered)","Strategic / Corporate VC","Bank innovation, ventures and investment unit (Standard Chartered PLC)","Singapore / United Kingdom","Singapore (HQ); London; hubs incl. Nairobi and Lagos via the bank","https://scventures.io/","https://www.linkedin.com/company/sc-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: no number attributed to scventures.io; a Standard Chartered London number appears in results but not clearly on sc.com – verify at https://www.sc.com/uk/contact/)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Builds new ventures and makes minority investments in fintech and adjacent technology (payments, digital assets, SME finance, sustainability, and selectively health/insurtech) across Standard Chartered's Asia, Africa and Middle East footprint","Limited; health appears only via embedded finance/insurance or ecosystem ventures","Fintech, digital assets, data/AI, cybersecurity, SME platforms","Asia, Africa (incl. Nigeria, Kenya), Middle East; UK-listed parent","Series A and later minority stakes; occasional seed via its venture-building arm","USD 1m–10m (ESTIMATE)","Not disclosed as a fund; balance-sheet allocation of Standard Chartered (prior knowledge)","Fintech investments such as Ripple, Contour and Paxos, plus internally built ventures (e.g., Solv, Zodia) – prior knowledge; no maternal or digital-health holdings identified","Alex Manson","CEO / Head of SC Ventures – confirm on team page","https://scventures.io/","Web contact form on https://scventures.io/; Standard Chartered UK contact page https://www.sc.com/uk/contact/; LinkedIn to SC Ventures investment team","Possible – via Standard Chartered Nigeria/Kenya corporate banking or SC Foundation 'Futuremakers' networks","https://scventures.io/;https://www.sc.com/en/about/innovation/sc-ventures/;https://find-and-update.company-information.service.gov.uk/company/00106502;https://www.sc.com/uk/contact/","2026-09-07 (site/contact route); investment details Unverified (prior knowledge)","SC Ventures Holdings Limited is a UK-registered company (no. 00106502 per Companies House listing). Thesis is fintech-led; a health platform would only fit via embedded payments/insurance for maternal care (e.g., patient financing) or as a bank-client digital-health partner in Nigeria.","Standard Chartered is a UK-headquartered bank with deep Nigeria and Kenya operations, and SC Ventures' mandate to back ecosystem platforms across Africa gives Vytalix a rare UK-to-Africa strategic bridge.","SC Ventures invests in fintech and bank-adjacent ventures, and a pre-seed maternal-health platform has neither a financial-services angle nor the traction it looks for.","Frame MaternaLink's Nigeria model around maternal-care payments and micro-insurance rails (with Standard Chartered as a partner bank for state programmes) rather than as a pure health-tech pitch.","4","6","6","8","7","3","3","7","0","2","1","0","1","1","1"
"Safaricom Spark Venture Fund","Strategic / Corporate VC","Telecom corporate venture fund (Safaricom PLC, Kenya)","Kenya","Nairobi","https://newsroom.safaricom.co.ke/innovation/a-spark-for-innovations-that-transform-lives/","https://www.linkedin.com/company/safaricom","","+254 20 427 4524/4260","","https://www.safaricom.co.ke/sustainabilityreport_2016/ebook/files/assets/common/downloads/page0084.pdf","VERIFIED 2026-09-07 (source in phone_source_url) – Safaricom House corporate line from an official Safaricom report (2016; re-confirm currency), NOT a fund line","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","USD 1m corporate venture fund (launched 2014/2015) investing in pre-seed and seed technology start-ups with a Kenyan presence that can leverage Safaricom's mobile, M-PESA and data platforms","Generalist; Safaricom has health ambitions via M-TIBA (CarePay) and mobile-health partnerships","Mobile, payments, logistics, ed-tech, data","Kenya (companies must have a Kenyan presence)","Pre-seed and seed; current deployment status TO VALIDATE (little public activity since circa 2018)","USD 75k–250k (ESTIMATE from historic deals)","USD 1m (announced); top-ups TO VALIDATE","Sendy, Eneza Education, Lynk, iProcure (prior knowledge; confirm on Safaricom newsroom)","NOT PUBLICLY IDENTIFIED","NOT PUBLICLY IDENTIFIED","","Safaricom strategic partnerships & innovation team via https://www.safaricom.co.ke/about/contact-us and the Spark newsroom page; LinkedIn to Safaricom innovation staff","Possible – via Nairobi ecosystem hubs (Nairobi Garage, VC4A) or M-TIBA/CarePay contacts","https://www.safaricom.co.ke/media-center-landing/press-releases/safaricom-announces-usd-1-million-venture-fund-for-transformative-techpreneurs;https://newsroom.safaricom.co.ke/innovation/a-spark-for-innovations-that-transform-lives/;https://vc4a.com/spark-venture-fund/;https://www.safaricom.co.ke/about/contact-us","2026-09-07 (phone/pages); fund activity Unverified (prior knowledge)","Relevant only if Kenya becomes Vytalix's second African market (Nigeria is currently first). Fund may be dormant – confirm before approach. Safaricom House, Waiyaki Way, Westlands, PO Box 66827-00800 Nairobi.","Safaricom's Spark fund is one of the few African telecom vehicles that writes pre-seed cheques, and Safaricom's M-PESA and M-TIBA rails are exactly the distribution a maternal care platform needs in East Africa.","The fund requires a Kenyan presence and appears inactive, while Vytalix's African focus is Nigeria and it has no East African operations or team.","Only approach once a Kenya pilot partner exists; then pitch MaternaLink as an M-PESA/M-TIBA-integrated maternal follow-up and payments tool for county health systems.","6","13","10","6","8","5","2","5","1","1","0","0","1","1","1"
"Danone Manifesto Ventures","Strategic / Corporate VC","Food & nutrition corporate VC (Danone)","United States / France","New York; Paris","https://www.danoneventures.com/","https://www.linkedin.com/company/danone-manifesto-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE (checked 2026-09-07: official site shows a contact form and privacy email only; scraped-directory numbers ignored)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Minority investments in high-growth food, beverage, nutrition and food-tech brands and enabling technologies aligned with Danone's health-through-food mission, including early-life and specialised nutrition","Nutrition and health (infant/maternal nutrition, gut health, medical nutrition adjacencies); not clinical software","Consumer brands, food-tech, digital nutrition/personalisation","North America and Europe primarily; Danone's Africa presence (e.g., Fan Milk in Nigeria/Ghana) is corporate, not fund, activity","Series A to Series B growth minority stakes","USD 3m–30m (ESTIMATE)","Launched 2016 with circa EUR/USD 100m+ committed by Danone (ESTIMATE; TO VALIDATE)","Yooji (baby food), Harmless Harvest, Kona Deep, Michel et Augustin (per danoneventures.com news posts)","Laurent Marcel","Managing Director, Danone Manifesto Ventures – confirm on team page","https://www.danoneventures.com/","Web contact form: https://www.danoneventures.com/contact/","Possible – via Danone Nutricia UK (early-life nutrition) commercial teams or Danone Nigeria/Fan Milk","https://www.danoneventures.com/;https://www.danoneventures.com/contact/;https://www.danoneventures.com/2018/04/20/danone-gains-different-perspective-in-baby-food-with-yooji-tie-up/;https://www.danoneventures.com/privacy-policy/","2026-09-07 (site/contact route); fund details Unverified (prior knowledge)","Only a privacy email (danone.ventures.privacy@danone.com) is published, not a pitch address. Fit rests on maternal and infant nutrition education content, not the care-coordination software; ticket and stage are too large/late for a pre-seed round.","Danone's early-life nutrition business (Nutricia/Aptamil) and its West African Fan Milk footprint make maternal-health education a strategic adjacency the fund could sponsor commercially even before it invests.","Danone Manifesto Ventures backs scaling consumer brands with revenue, whereas Vytalix is a pre-revenue B2B/B2G health platform outside the food category.","Offer MaternaLink's antenatal nutrition education modules as a co-developed content partnership with Danone Nutricia UK and Nigeria, positioning any equity conversation for a later round.","7","5","5","7","7","6","3","5","0","2","1","0","1","1","1"
