"week","date","channel","title","pillar","format","cta","owner","status"
"1","2026-09-15","LinkedIn","Why I'm starting a health-tech group with a consultancy, not an app","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"1","2026-09-16","LinkedIn","Day 1: what Vytalix is, what it isn't, and what I don't know yet","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"1","2026-09-17","LinkedIn","The three questions I ask before any digital maternity idea","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"2","2026-09-22","LinkedIn","Ockenden and Kirkup keep finding the same failure: communication"" (cited)","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"2","2026-09-23","LinkedIn","We are calling the AI risk score a research track. Here's why.","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"2","2026-09-24","LinkedIn","A one-page intended-use statement — the most valuable document a health-tech founder can write","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"2","2026-09-25","Website / Insights","Draft A1","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"3","2026-09-29","LinkedIn","What DTAC actually asks for (and what it doesn't)","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"3","2026-09-30","LinkedIn","Naming a company when four similar names already exist","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"3","2026-10-01","LinkedIn","Discovery interview guide: 12 questions for maternity teams"" (template)","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"3","2026-10-02","Website / Insights","Website live","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"3","2026-09-28","Video","90-second founder intro: what Vytalix is and is not","Video / education","Short video","Watch / share","Founder","Planned"
"4","2026-10-06","LinkedIn","The £300-per-woman question: how to price a maternal health programme honestly","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"4","2026-10-07","LinkedIn","Week 4: first proposals out. What buyers pushed back on.","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"4","2026-10-08","LinkedIn","DTAC readiness self-check: 20 items"" (carousel)","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
