"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"Novastar Ventures","Venture Capital","Impact venture fund (Africa mass-market), London HQ","United Kingdom","London (offices in Nairobi and Lagos)","https://www.novastarventures.com","https://www.linkedin.com/company/novastar-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","info@novastarventures.com","https://www.novastarventures.com/contact/","Early- and growth-stage businesses serving Africa's mass market: essential goods and services, agri-food, energy access, logistics, financial services, health (impact 'venture catalyst' model)","Health and essential services are in-scope as an impact theme; specific health-tech holdings are prior knowledge only (e.g. Turaco micro-insurance incl. health) – TO VALIDATE on portfolio page","Tech-enabled business models; not a pure software fund","East and West Africa (Kenya, Nigeria, Ghana, Uganda, Rwanda); UK-domiciled manager (Companies House 12230248)","Seed to Series B (prior knowledge)","US$250k–US$8m across fund life (ESTIMATE, prior knowledge)","NAF I ~US$80m, NAF II ~US$108m, Africa People + Planet Fund raising (ESTIMATES, prior knowledge)","Turaco (health/life micro-insurance), SunCulture, Sanergy, MAX, Komaza (prior knowledge – TO VALIDATE)","Steve Beck – confirm on team page","Co-founder & Managing Partner (Andrew Carruthers, Managing Director, and Niraj Varia, Partner (Nairobi), also listed – confirm on team page)","https://www.novastarventures.com/team/","Email info@novastarventures.com or web form https://www.novastarventures.com/contact/; London office at 21-27 Lambs Conduit Street, WC1N 3GS (Companies House registered office)","Possible – via any Nairobi/Lagos portfolio founder or the London impact-investing community (Acumen co-invests)","https://www.novastarventures.com/contact/;https://www.novastarventures.com/team/;https://find-and-update.company-information.service.gov.uk/company/12230248;https://www.privateequityinternational.com/institution-profiles/novastar-ventures.html","2026-09-07","Phone: none on the contact page in search results; a mobile number attributed to the MD appears in an old Solarnow press release on the official site but is a personal number and is deliberately NOT recorded. Address verified via Companies House. Fund names/sizes are prior knowledge.","A London-headquartered impact VC that only backs businesses serving African mass-market customers, so it can evaluate a UK-domiciled company whose equity story is MaternaLink in Nigeria/East Africa without a domicile objection.","Novastar backs businesses with live African customers and unit economics, and MaternaLink has no product in production, no African customer and an unresolved IP position with David Agunede.","Position Vytalix as a UK-governed vehicle for an African maternal care-coordination platform, and ask for a 'too early, come back' conversation now so Novastar can track the Ekiti pilot outcome and first services revenue.","12","8","10","8","11","7","3","8","0","1","1","1","1","1","1"
"Launch Africa Ventures","Venture Capital","Pan-African pre-seed/seed fund","Mauritius","Ebene (team across Cape Town, Johannesburg, Nairobi, Lagos, Cairo – prior knowledge)","https://www.launchafrica.vc","https://www.linkedin.com/company/launch-africa","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","B2B and B2B2C tech startups across Africa; one of the most active seed investors on the continent (130+ companies from Fund I – prior knowledge)","Health-tech is one of the sectors invested in; specific names (e.g. Zuri Health, Rology) are prior knowledge – TO VALIDATE on https://www.launchafrica.vc/seed-fund-i-portfolio","Software, marketplaces, fintech, logistics, health-tech, edtech","Pan-African (all regions); Mauritius-domiciled fund c/o Apex Fund & Corporate Services, Cybercity, Ebene","Pre-seed and Seed","US$100k–US$300k first cheque (ESTIMATE, prior knowledge)","Fund I ~US$36m (2020–22); Fund II raising (prior knowledge)","Health-tech names in Seed Fund I portfolio – TO VALIDATE; fintech/logistics names dominate","Zachariah George – confirm on team page","Managing Partner (Janade du Plessis, Managing Partner, also listed – confirm on team page)","https://www.launchafrica.vc/team","Web contact form https://www.launchafrica.vc/contact-us (no email or phone published in search results); FAQs at https://www.launchafrica.vc/faqs","Possible – large portfolio, any African founder backed by Launch Africa can refer","https://www.launchafrica.vc/contact-us;https://www.launchafrica.vc/team;https://www.launchafrica.vc/seed-fund-i-portfolio;https://www.launchafrica.vc/faqs","2026-09-07","Only a Mauritius c/o address is published. Fund II status and ticket size are prior knowledge (TO VALIDATE).","High-volume pre-seed/seed cheques across Africa with health-tech in portfolio, so the ticket and stage match Vytalix's first round even though the company is pre-formation.","Launch Africa expects an Africa-operating startup with early traction, whereas Vytalix is UK-first with only an unaccepted Ekiti proposal as its African footprint.","Lead with the Nigeria maternal-health opportunity (Ekiti conversations, care-coordination v1) and offer a Nigerian operating subsidiary as the investable vehicle if required.","11","13","13","8","8","6","3","7","0","2","1","0","1","1","1"
"Founders Factory Africa","Venture Capital","Accelerator fund / venture studio (invests cash for equity)","South Africa","Johannesburg","https://www.foundersfactory.africa","https://za.linkedin.com/company/foundersfactoryafrica","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","africa-enquiries@foundersfactory.co","https://www.foundersfactory.africa/","Pan-African venture studio and accelerator backed by Standard Bank, Netcare, Small Foundation and (from 2023) Mastercard Foundation; funds and builds tech-enabled startups (prior knowledge on backers)","Yes – health-tech has been a named vertical via the Netcare partnership (prior knowledge – TO VALIDATE current programme scope)","Tech-enabled startups; fintech, health-tech, agritech, edtech","Pan-African; startups must operate in Africa (application terms – TO VALIDATE)","Pre-seed and Seed (Accelerate / Scale programmes)","~US$150k–US$250k cash plus in-kind venture support (ESTIMATE, prior knowledge)","Mastercard Foundation partnership ~US$114m to back ~140 startups (prior knowledge – TO VALIDATE)","Health-tech names in portfolio (prior knowledge, e.g. Kenya/Nigeria digital-health startups) – TO VALIDATE on https://www.foundersfactory.africa/portfolio","Sam Sturm – confirm on team page","Chief Portfolio Officer (public role per prior knowledge – confirm on team page)","https://www.foundersfactory.africa/team","Apply online https://www.foundersfactory.africa/apply; email africa-enquiries@foundersfactory.co","Possible – via Netcare/Standard Bank innovation teams or any FFA portfolio founder","https://www.foundersfactory.africa/;https://www.foundersfactory.africa/apply;https://www.foundersfactory.africa/team;https://www.foundersfactory.africa/portfolio;https://find-and-update.company-information.service.gov.uk/company/12118495/persons-with-significant-control","2026-09-07","A +27 number appeared only in Dun & Bradstreet/ZoomInfo-type listings and is NOT recorded. UK sister entity Founders Factory Africa UK Limited exists on Companies House (12118495).","Combines cash with hands-on product and venture-building support, which is exactly what a pre-formation team with a prototype dashboard and no engineering capacity needs.","Programme eligibility is built around startups operating in Africa with committed full-time founders, and Vytalix's founder time commitment and African operations are undocumented.","Apply with MaternaLink framed as an Africa-first care-coordination product (Nigeria pilot pathway) and ask whether the health vertical is still open under the Mastercard Foundation programme.","13","14","12","8","12","7","3","7","0","2","1","1","1","1","1"
"Villgro Africa","Impact / DFI","Health-focused incubator and impact investor (seed cash for equity/grant blends)","Kenya","Nairobi","https://villgroafrica.org","https://ke.linkedin.com/company/villgroafrica","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Early-stage healthcare and life-science businesses in Africa: incubation plus seed funding (grant and equity) and access to a partner network; runs Boehringer Ingelheim's 'Making More Health' programme","Yes – exclusively health and life sciences (medtech, digital health, diagnostics, last-mile care)","Digital health, medtech, diagnostics","Kenya-headquartered, pan-African cohorts","Pre-seed / Seed (incubation stage)","US$50k–US$150k per venture, often grant + equity blend (ESTIMATE, prior knowledge)","Not publicly stated; funded by philanthropic and corporate partners (prior knowledge)","Enzi Health (last-mile care) per official site; other digital-health incubatees – TO VALIDATE","Wilfred Njagi – confirm on team page","Co-founder & CEO (Rob Beyer, Co-founder & Executive Chairman, also listed – confirm on team page)","https://villgroafrica.org/","Website contact/funding-calls pages https://villgroafrica.org/ and https://villgroafrica.org/funding_calls/making-more-health/ (emails are masked in search results – read them off the site)","Possible – via Strathmore University ecosystem (office is in Strathmore Student Centre) or any Villgro incubatee","https://villgroafrica.org/;https://villgroafrica.org/funding_calls/making-more-health/;https://villgroafrica.org/last-mile-healthcare-provider-enzi/;https://villgroafrica.org/mentors/","2026-09-07","A '+254 20 123 4567' number surfaced only from a business directory and is a placeholder pattern – NOT recorded. Address seen: 5th Floor Strathmore University Student Centre, Keri Road, Madaraka, Nairobi (directory source – confirm).","The only Africa investor in this list that is health-only and built for pre-seed ventures, so MaternaLink's maternal care-coordination thesis is squarely in mandate.","Villgro backs African-founded ventures operating in Kenya/Africa with small cheques, and a UK-domiciled parent chasing NHS trusts will look off-thesis unless the African entity is the applicant.","Apply through a funding call with MaternaLink's Africa track (Nigeria/Kenya care coordination) and ask for incubation plus a small seed grant/equity blend rather than a priced round.","17","14","8","8","12","9","3","7","0","1","1","0","1","1","1"
"AAIC Investment (Asia Africa Investment & Consulting) – Africa Healthcare Fund","Venture Capital","Africa healthcare-focused VC (AHF1 / AHF2)","Singapore","Singapore (offices in Nairobi, Cairo; Tokyo group HQ)","https://aaicinvestment.com","https://www.linkedin.com/company/aaic-investment","","","","","PHONE NOT PUBLICLY AVAILABLE","pr-investment@aa-ic.com","pr-investment@aa-ic.com","https://aa-ic.com/en/about-en/company-information/","Healthcare and innovation businesses in Africa: Africa Healthcare Fund 1 (2017) and Africa Healthcare & Innovation Fund 2 (2022); combined ~US$87m","Yes – healthcare is the core mandate (hospitals, pharma distribution, digital health, medtech)","Digital health, health-tech, broader innovation (AHF2)","Africa (Kenya, Egypt, Nigeria, South Africa and others); Singapore-domiciled manager","Seed to Series B (prior knowledge)","US$500k–US$5m (ESTIMATE, prior knowledge)","AHF1 + AHF2 total ~US$87m (official news release)","Revital Healthcare (Kenya medical devices), Fourth Valley (official news releases); other digital-health holdings – TO VALIDATE","Susumu Tsubaki – confirm on leadership page","Founder & CEO, AAIC Holdings (Hiroki Ishida listed as Representative of Kenya office / Director of Egypt office – confirm)","https://aa-ic.com/en/about-en/leadership/","Email pr-investment@aa-ic.com; Singapore office 180B Bencoolen Street #05-02, Singapore 189648 (official company information page)","Possible – via Nairobi office or Japanese health-tech/impact networks (JICA-linked ecosystem)","https://aaicinvestment.com/;https://aa-ic.com/en/about-en/company-information/;https://aa-ic.com/en/about-en/leadership/;https://aa-ic.com/en/news/the-africa-fund-ahf2-managed-by-aaic-investment-has-received-new-participation-2nd-close/;https://aa-ic.com/en/news/revital-healthcare-received-investments-from-japanese-investors-to-address-shortage-of-medical-devices-and-global-health-challenges-from-africa/","2026-09-07","No phone published in search results. Ticket sizes are estimates. AHF2 has Japanese financial-institution and listed-company LPs – useful for later corporate partnerships.","A dedicated Africa healthcare fund with a Nairobi office and Egypt presence, so it understands maternal-health economics in African public systems better than generalist VCs.","AAIC typically writes larger cheques into revenue-generating healthcare companies with African operations, and Vytalix has no revenue, no African entity and an undocumented MaternaLink ownership position.","Send a short note to pr-investment@aa-ic.com introducing MaternaLink's Nigeria care-coordination model and ask to be tracked for AHF2 once an African operating entity and first pilot exist.","17","8","9","8","12","8","3","8","0","2","1","1","1","1","1"
"Beyond Capital Ventures","Venture Capital","Impact VC (emerging markets: East Africa and India), women-led","United States","Dallas, Texas (team in Nairobi and Mumbai – prior knowledge)","https://www.beyondcapitalventures.com","https://www.linkedin.com/company/beyond-capital-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Seed to Series A impact companies in East Africa and India in healthcare, financial inclusion, sustainable food and other essential services (official site: 'women-led, emerging markets impact venture fund')","Yes – healthcare/women's health is a core theme (Kasha women's health e-commerce, Ilara Health diagnostics – prior knowledge, TO VALIDATE on portfolio page)","Tech-enabled essential services","East Africa (Kenya, Rwanda, Uganda) and India","Seed to Series A","US$250k–US$1m (ESTIMATE, prior knowledge)","Fund II ~US$30m target (ESTIMATE, prior knowledge)","Kasha (women's health), Ilara Health (prior knowledge – TO VALIDATE at https://www.beyondcapitalventures.com/portfolio)","Eva Yazhari – confirm on team page","Co-founder, CEO & General Partner","https://www.beyondcapitalventures.com/team","Founder contact form https://www.beyondcapitalventures.com/contact (site states investment-team enquiries go through the form); 'Founders: get to know our process' campaign page","Possible – via Kasha/Ilara founders or the Nairobi impact-investing community","https://www.beyondcapitalventures.com/contact;https://www.beyondcapitalventures.com/team;https://www.beyondcapitalventures.com/portfolio;https://www.beyondcapitalventures.com/about","2026-09-07","A +254 mobile appeared only in a scraped directory and is NOT recorded. Beyond Capital Fund (beyondcapitalfund.org) is the related non-profit, not the VC.","Women-led impact fund whose portfolio already includes women's-health and primary-care businesses in East Africa, making maternal care coordination an obvious thematic fit.","Geography is East Africa and India, not the UK or Nigeria, and the fund wants seed-stage companies with revenue, which Vytalix does not have.","Use the founder form to position MaternaLink's Africa track as a Kenya/Rwanda-capable care-coordination platform and ask for feedback on the women's-health thesis before raising.","15","10","11","8","10","9","3","7","0","2","1","0","1","1","1"
"Global Ventures","Venture Capital","Emerging-market VC (MENA and Africa) with health-tech portfolio","United Arab Emirates","Dubai (also Abu Dhabi, Hub71)","https://www.global.vc","https://www.linkedin.com/company/global-ventures-vc","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","info@global.vc","https://www.global.vc/contact-us","Emerging-market founders in fintech, healthtech, edtech, agritech and enterprise SaaS across MENA and Africa (Fund I and Fund II)","Yes – healthtech is a named sector; led Helium Health (Nigeria) rounds (prior knowledge – TO VALIDATE on portfolio page)","Software platforms, SaaS, digital health, fintech","MENA and Sub-Saharan Africa (Nigeria, Kenya, Egypt, Saudi, UAE)","Seed to Series B; sweet spot Series A (prior knowledge)","US$1m–US$5m (ESTIMATE, prior knowledge)","Fund II ~US$? (undisclosed here – TO VALIDATE); PitchBook lists Fund I and Fund II","Helium Health (Nigeria EMR/fintech for hospitals – prior knowledge); Red Sea Farms, Lean Technologies (official portfolio pages)","Noor Sweid – confirm on people page","Founder & Managing Partner (Basil Moftah, General Partner, also listed – confirm)","https://www.global.vc/contact-us","Email info@global.vc or contact form https://www.global.vc/contact-us; office 6 Falak Building, Dubai Internet City, PO Box 500660","Possible – via Helium Health founders or Hub71/DIC ecosystem","https://www.global.vc/contact-us;https://www.global.vc/contact;https://www.global.vc/portfolio/red-sea-farms;https://pitchbook.com/profiles/investor/266620-15","2026-09-07","Two different +971 numbers surfaced from directory-type sources (…7254 and …5893); neither could be attributed to the official contact page in a domain-restricted search, so NO phone recorded – check https://www.global.vc/contact-us directly.","One of the few MENA/Africa funds that has led a Nigerian hospital-software company, so it can underwrite MaternaLink's Nigeria go-to-market with real reference points.","Global Ventures' cheque size and Series A focus are well above a pre-formation UK company with no revenue, and the fund backs founders based in its emerging markets.","Register on the radar now via info@global.vc with the Nigeria maternal-health pilot pathway and Helium Health as a potential integration partner, targeting a Series A conversation after pilots.","14","7","7","7","11","6","3","8","0","2","1","1","1","1","1"
"Madica","Venture Capital","Pre-seed investment programme (backed by Flourish Ventures) – cash for equity","Kenya","Nairobi","https://www.madica.vc","https://www.linkedin.com/company/madica","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","madica@wimbart.com","https://www.madica.vc/","Structured pre-seed programme investing up to US$200k per startup plus 18 months of hands-on support, targeting under-represented African founders; sector-agnostic incl. AI (official programme page and blog)","Sector-agnostic; health-tech eligible (official site does not exclude health) – specific health investees TO VALIDATE","Tech startups incl. AI; MVP required","Africa – startups must operate in Africa and be led by local, full-time founders (official FAQ/apply page)","Pre-seed","Up to US$200k (official programme page – ESTIMATE of current terms)","Launched by Flourish Ventures in 2022 with US$6m initial commitment (Flourish press release – prior knowledge on amount)","Portfolio published at https://www.madica.vc (AI startups noted in 2025–26 blog); health names TO VALIDATE","Emmanuel Adegboye – confirm on about page","Head of Madica","https://www.madica.vc/about","Apply online https://www.madica.vc/apply (rolling applications, no deadline); press contact madica@wimbart.com (PR agency address on official site)","Possible – via Flourish Ventures network or ABAN (Africa Business Angel Network) partnership noted on Madica blog","https://www.madica.vc/apply;https://www.madica.vc/faqs;https://www.madica.vc/program;https://www.madica.vc/about;https://flourishventures.com/news/flourish-ventures-launches-africa-focused-pre-seed-investment-platform-madica/","2026-09-07","Eligibility explicitly requires operating in Africa with local founders engaged full-time and an MVP with ideally paying customers – Vytalix currently fails the operating-in-Africa test unless a Nigerian entity with a local co-founder (e.g. David Agunede, if the relationship is formalised) applies.","The cleanest pre-seed cheque size in Africa (up to US$200k) with 18 months of company-building support, matching the capital Vytalix's first round actually needs.","Madica requires an African-operating startup led by full-time local founders, so a UK-domiciled, UK-first Vytalix with a part-time founder would be screened out at application.","Only apply once a Nigerian MaternaLink entity with a full-time local founder and a working MVP exists; until then use the FAQ criteria as a checklist for what to fix.","10","15","13","8","9","5","4","6","0","2","1","1","1","1","1"
"Seedstars International Ventures","Venture Capital","Emerging-market pre-seed/seed fund (Seedstars group)","Switzerland","Geneva (36 avenue Cardinal-Mermillod, 1227 Carouge)","https://www.seedstars.com/funds/","https://www.linkedin.com/company/seedstars","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Pre-seed and seed technology companies in emerging markets (Africa, MENA, Asia, LatAm) via Seedstars International Ventures funds; fund often invests alongside its programmes","Health-tech is a target sector across emerging markets; specific health investees are prior knowledge – TO VALIDATE","Software, fintech, health-tech, edtech, AI","Emerging markets globally, with strong Africa footprint (Nigeria, Kenya, Egypt, South Africa, Côte d'Ivoire)","Pre-seed and Seed (some follow-on)","US$150k–US$500k (ESTIMATE, prior knowledge)","SIV Fund II ~US$30m target (ESTIMATE, prior knowledge)","Emerging-market health-tech names – TO VALIDATE on https://www.seedstars.com/funds/","Charlie Graham-Brown – confirm on team page","Partner & Chief Investment Officer (Alisée de Tonnac, Co-founder, also listed – confirm)","https://www.seedstars.com/press/team/","Contact form https://www.seedstars.com/contact-us/ (investment email is masked in search results – read it off the page)","Possible – via Seedstars World competition alumni or Seedstars Africa hubs","https://www.seedstars.com/contact-us/;https://www.seedstars.com/funds/;https://www.seedstars.com/press/team/;https://group.seedstars.com/contact/;https://pitchbook.com/profiles/investor/105749-83","2026-09-07","No phone published in search results; Geneva address confirmed on official group contact page.","A Europe-based fund that writes emerging-market pre-seed cheques, so a Swiss-facing UK entity with an Africa product does not trigger a domicile objection.","Seedstars looks for emerging-market traction (users, revenue) and a full-time founding team, neither of which Vytalix can evidence today.","Enter through the Seedstars programme/competition route with MaternaLink's Africa track, using the fund's Europe base as a reason the UK parent structure works.","12","14","13","8","8","5","3","7","0","2","1","0","1","1","1"
"Goodwell Investments","Impact / DFI","Impact investor in African early-growth companies (uMunthu funds, Goodwell V)","Netherlands","Amsterdam (Herengracht 201, 1016 BE)","https://goodwell.nl","https://www.linkedin.com/company/goodwell-investments","","(+31) 85 273 7462","","https://goodwell.nl/contact/","VERIFIED 2026-09-07 (source in phone_source_url)","NOT PUBLICLY AVAILABLE","contact@goodwell.nl","https://goodwell.nl/contact/","Impact investing in early-growth SMEs and tech-enabled businesses serving underserved markets in Africa (financial inclusion, logistics, agri, health, education); new EUR 50m Goodwell V fund for high-growth African SMEs (official news)","Health is an in-scope basic-services theme; specific health holdings – TO VALIDATE on https://www.goodwell.nl/track-record/","Tech-enabled inclusive businesses (Paga, Copia, Nomanini – prior knowledge/official pages)","Sub-Saharan Africa (Nigeria, Kenya, South Africa, Uganda, Ghana); Amsterdam-based manager with local partners","Early growth (post-revenue) with some seed (prior knowledge)","EUR 250k–EUR 5m (ESTIMATE, prior knowledge)","uMunthu II and Goodwell V (EUR 50m) – official site; total AUM prior knowledge ~EUR 150m+ (TO VALIDATE)","Nomanini (official 'Meet Nomanini' page), Paga, Copia (prior knowledge); health names TO VALIDATE","Els Boerhof – confirm on team page","Managing Partner (Wim van der Beek, Founder & Managing Partner, also listed – confirm)","https://goodwell.nl/team/els-boerhof/","Phone (+31) 85 273 7462; email contact@goodwell.nl; investee questionnaire https://goodwell.nl/questionnaire/","Possible – via Dutch impact-investing network (FMO/DGGF ecosystem) or portfolio founders in Lagos/Nairobi","https://goodwell.nl/contact/;https://goodwell.nl/questionnaire/;https://www.goodwell.nl/track-record/;https://goodwell.nl/team/els-boerhof/;https://www.goodwell.nl/news/goodwell-investments-launches-new-eur-50-million-fund-goodwell-v/","2026-09-07","Phone, email and address verified on official contact page. Goodwell invests post-revenue; a pre-formation company is early but the online questionnaire is a low-cost way to get on file.","A European impact investor with two decades in Nigeria and Kenya that funds basic-services businesses, so a UK parent with an African maternal-health platform fits its structure and thesis.","Goodwell's mandate is early-growth, revenue-generating African SMEs, and Vytalix has neither revenue nor an African operating company.","Complete the investee questionnaire to be tracked, and pitch MaternaLink's Nigeria pilot economics (per-woman pricing TO VALIDATE) as a future uMunthu/Goodwell V candidate.","12","7","10","8","10","6","4","8","3","2","1","1","1","1","1"
