"Organisation","Country","Category","Partner Tier","Decision Maker","Job Title","LinkedIn","Email","Phone","Relationship Status","Priority","Strategic Value","What We Want","What We Offer","Last Contact","Next Action","Meeting Date","Partnership Stage","Probability","Potential Value (£)","Notes","Source","Owner","NDA Status","Instrument","Consent to contact (basis)"
"Oxford University Hospitals NHS FT (maternity)","UK","NHS trust","1 Foundational","NOT YET IDENTIFIED (title known)","Consultant Obstetrician, Clinical Lead for Hypertension in Pregnancy; Head of Midwifery; Digital Midwife","","","","Cold","9","","Service evaluation site; obstetric hypertension lead; 100–150 women","No-fee evaluation, safety artefacts, co-authorship","","Via Health Innovation Oxford & Thames Valley introduction; reference the BUMP evidence honestly","","RESEARCHED","10%","","","Public trust; verify current leads","Founder","None","Service evaluation → licence","Legitimate interest (B2B professional role) — TO VALIDATE"
"University of Oxford, Nuffield Department of Primary Care Health Sciences (self-monitoring BP research)","UK","University research group","1 Foundational","NOT YET IDENTIFIED (title known)","Professor of Primary Care Research leading the BP self-monitoring programme; senior researcher on BUMP","","","","Cold","10","","Evaluation partner; ethics sponsor; design of feasibility study","Prospective data; co-investigator role; grant co-bids","","Email citing BUMP findings and asking to design what happens after the reading","","RESEARCHED","10%","","","Public academic group","Founder","None","Research collaboration","Legitimate interest (B2B professional role) — TO VALIDATE"
"National Perinatal Epidemiology Unit (NPEU), University of Oxford (MBRRACE-UK)","UK","Research / data","4 Data","NOT YET IDENTIFIED (title known)","Director of NPEU; MBRRACE-UK lead","","","","Cold","9","","Methods advice; equity indicator alignment; later data linkage","Continuous continuity data; equity reporting aligned to their framework","","Warm intro via Oxford; propose an equity-indicator workshop","","RESEARCHED","10%","","","Public body","Founder","None","Research collaboration","Legitimate interest (B2B professional role) — TO VALIDATE"
"Guy's and St Thomas' NHS FT (maternity)","UK","NHS trust","3 Clinical","NOT YET IDENTIFIED (title known)","Clinical Director for Women's Services; Digital Midwife","","","","Cold","8","","Second evaluation site","Evaluation, equity reporting","","Via Health Innovation Network South London","","RESEARCHED","10%","","","","Founder","None","Service evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
"King's College Hospital NHS FT + King's College London Dept of Women & Children's Health","UK","NHS trust + university","1 Foundational","NOT YET IDENTIFIED (title known)","Professor of Obstetrics/Maternal Health; Head of Department; Clinical Lead for Maternal Medicine","","","","Cold","9","","Research partner and site","Cohort design; data; co-authorship","","Approach the department's maternal-health digital or pre-eclampsia lead with the equity design","","RESEARCHED","10%","","","","Founder","None","Research + service evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
"Imperial College Healthcare NHS Trust + Imperial College London","UK","NHS trust + university","3 Clinical","NOT YET IDENTIFIED (title known)","Consultant Obstetrician (Maternal Medicine); Head of Midwifery","","","","Cold","7","","Site and research input","Evaluation; data","","Via Imperial's innovation office","","RESEARCHED","10%","","","","Founder","None","Service evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
"Birmingham Women's and Children's NHS FT","UK","NHS trust","3 Clinical","NOT YET IDENTIFIED (title known)","Chief Medical Officer; Head of Midwifery","","","","Cold","8","","Evaluation site","Equity reporting; virtual ward","","Via Health Innovation West Midlands","","RESEARCHED","10%","","","","Founder","None","Service evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
"Liverpool Women's NHS FT + University of Liverpool (Centre for Women's Health Research)","UK","NHS trust + university","3 Clinical","NOT YET IDENTIFIED (title known)","Director of Research; Consultant Obstetrician","","","","Cold","7","","Site and research","Evaluation; data","","Via the research centre director","","RESEARCHED","10%","","","","Founder","None","Service evaluation + research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Manchester University NHS FT (Saint Mary's) + Tommy's Manchester Research Centre","UK","NHS trust + research","3 Clinical","NOT YET IDENTIFIED (title known)","Clinical Head of Division (Obstetrics); Tommy's centre director","","","","Cold","7","","Site; research input","Evaluation","","Via Health Innovation Manchester","","RESEARCHED","10%","","","","Founder","None","Service evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
"Leeds Teaching Hospitals NHS Trust (maternity)","UK","NHS trust","3 Clinical","NOT YET IDENTIFIED (title known)","Head of Midwifery; Digital Midwife","","","","Cold","6","","Evaluation site","Virtual ward","","Via Health Innovation Yorkshire & Humber","","RESEARCHED","10%","","","","Founder","None","Service evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
