"Organisation","Country","Category","Partner Tier","Why relevant","What we ask","What we offer","Ideal decision-maker (title)","Partnership type","Priority /10","Opening approach","Strategic value","Source / note"
"Oxford University Hospitals NHS FT (maternity)","UK","NHS trust","1 Foundational","Large maternity unit; region with home BP-in-pregnancy research heritage (BUMP trials)","Service evaluation site; obstetric hypertension lead; 100–150 women","No-fee evaluation, safety artefacts, co-authorship","Consultant Obstetrician, Clinical Lead for Hypertension in Pregnancy; Head of Midwifery; Digital Midwife","Service evaluation → licence","9","Via Health Innovation Oxford & Thames Valley introduction; reference the BUMP evidence honestly","First customer; evidence","Public trust; verify current leads"
"University of Oxford, Nuffield Department of Primary Care Health Sciences (self-monitoring BP research)","UK","University research group","1 Foundational","Ran the BUMP trials on self-monitoring BP in pregnancy; world authority on the exact evidence gap","Evaluation partner; ethics sponsor; design of feasibility study","Prospective data; co-investigator role; grant co-bids","Professor of Primary Care Research leading the BP self-monitoring programme; senior researcher on BUMP","Research collaboration","10","Email citing BUMP findings and asking to design what happens after the reading","Evidence credibility","Public academic group"
"National Perinatal Epidemiology Unit (NPEU), University of Oxford (MBRRACE-UK)","UK","Research / data","4 Data","Runs MBRRACE-UK; methodology for maternal deaths and inequalities","Methods advice; equity indicator alignment; later data linkage","Continuous continuity data; equity reporting aligned to their framework","Director of NPEU; MBRRACE-UK lead","Research collaboration","9","Warm intro via Oxford; propose an equity-indicator workshop","National credibility","Public body"
"Guy's and St Thomas' NHS FT (maternity)","UK","NHS trust","3 Clinical","Large London unit; diverse population; digital maternity programmes","Second evaluation site","Evaluation, equity reporting","Clinical Director for Women's Services; Digital Midwife","Service evaluation","8","Via Health Innovation Network South London","Diversity; London credibility",""
"King's College Hospital NHS FT + King's College London Dept of Women & Children's Health","UK","NHS trust + university","1 Foundational","Leading research in pre-eclampsia and maternal health; diverse south London population","Research partner and site","Cohort design; data; co-authorship","Professor of Obstetrics/Maternal Health; Head of Department; Clinical Lead for Maternal Medicine","Research + service evaluation","9","Approach the department's maternal-health digital or pre-eclampsia lead with the equity design","Evidence; equity",""
"Imperial College Healthcare NHS Trust + Imperial College London","UK","NHS trust + university","3 Clinical","Maternity research and digital innovation; Institute of Reproductive and Developmental Biology","Site and research input","Evaluation; data","Consultant Obstetrician (Maternal Medicine); Head of Midwifery","Service evaluation","7","Via Imperial's innovation office","Evidence",""
"Birmingham Women's and Children's NHS FT","UK","NHS trust","3 Clinical","Specialist women's hospital; diverse population; MBRRACE inequality focus in the region","Evaluation site","Equity reporting; virtual ward","Chief Medical Officer; Head of Midwifery","Service evaluation","8","Via Health Innovation West Midlands","Diversity; specialist unit",""
"Liverpool Women's NHS FT + University of Liverpool (Centre for Women's Health Research)","UK","NHS trust + university","3 Clinical","Specialist women's hospital with research centre","Site and research","Evaluation; data","Director of Research; Consultant Obstetrician","Service evaluation + research","7","Via the research centre director","Evidence",""
"Manchester University NHS FT (Saint Mary's) + Tommy's Manchester Research Centre","UK","NHS trust + research","3 Clinical","Major unit; Tommy's stillbirth and maternal research","Site; research input","Evaluation","Clinical Head of Division (Obstetrics); Tommy's centre director","Service evaluation","7","Via Health Innovation Manchester","Evidence",""
"Leeds Teaching Hospitals NHS Trust (maternity)","UK","NHS trust","3 Clinical","Large unit; regional digital programmes","Evaluation site","Virtual ward","Head of Midwifery; Digital Midwife","Service evaluation","6","Via Health Innovation Yorkshire & Humber","Scale",""
"UCLH + UCL Institute for Women's Health","UK","NHS trust + university","3 Clinical","Research-intensive; women's health institute","Research partner","Data; co-authorship","Institute Director; Professor of Maternal and Fetal Medicine","Research","7","Approach institute innovation lead","Evidence",""
"Health Innovation Oxford & Thames Valley","UK","Health Innovation Network","5 Commercial","Front door to Oxford-region trusts; innovation exchange","Introductions to trusts; navigation support","A well-governed evaluation for their portfolio","Innovation Exchange Lead / Programme Manager (Maternity or Patient Safety)","Support agreement","10","Email with intended-use statement and evaluation concept; ask for the two-trust question","Door-opener",""
"Health Innovation Network South London","UK","Health Innovation Network","5 Commercial","Diverse London trusts; maternity safety programmes","Introductions","Equity-focused evaluation","Head of Innovation / Maternity Programme Lead","Support","9","Same as above","Door-opener",""
"Health Innovation Manchester","UK","Health Innovation Network","5 Commercial","Greater Manchester devolved health system; digital maturity","Introductions; ICB route","Evaluation; equity","Director of Innovation; Maternity lead","Support","8","Email","Door-opener; ICB",""
"Health Innovation West Midlands","UK","Health Innovation Network","5 Commercial","Region with high maternal inequality","Introductions","Equity design","Innovation Exchange lead","Support","8","Email","Door-opener",""
"NHS England — Maternity and Neonatal Programme (national MEWS)","UK","National body","6 Strategic","Owns national MEWS and the Single Delivery Plan","Alignment guidance; awareness","Continuity layer aligned to MEWS; equity data","Head of Maternity Transformation / National Clinical Lead for Maternity Safety","Engagement","8","Via HIN or NPEU introduction; never cold","Policy pull","Do not claim endorsement"
"NHS Race and Health Observatory","UK","National body","6 Strategic","Independent body on ethnic health inequalities; maternity is a priority","Review of equity design; visibility","Data on reach and response by ethnicity","Director of Research / Head of Maternal Health workstream","Engagement / research","8","Email proposing an equity-indicator review","Credibility on equity",""
"Royal College of Obstetricians and Gynaecologists (RCOG)","UK","Professional body","3 Clinical","Guidelines; digital and innovation interest","Process review; events","Alignment to guidance","Director of Clinical Quality; Digital/Innovation lead","Engagement","6","Approach via clinician partners","Legitimacy","No endorsement claims"
"Royal College of Midwives (RCM)","UK","Professional body","3 Clinical","Midwifery workforce; digital midwifery","Midwifery workflow review; training content","Training modules","Director for Professional Midwifery; Digital lead","Engagement","7","Email proposing a workflow review","Midwife adoption",""
"Tommy's","UK","Charity / research","1 Foundational","Largest UK pregnancy research charity; research centres; public reach","Review evaluation design; clinical champion introductions; community input","Data sharing under governance; co-branded information content","Head of Research; Director of Research and Policy","Research/community partnership","9","Email to Head of Research with the evaluation concept","Credibility; introductions",""
"Five X More","UK","Community organisation","1 Foundational","Campaign on Black maternal health outcomes; community trust","Equity design co-creation; community panel","Paid advisory role; transparent equity reporting","Co-founders","Community partnership","9","LinkedIn note then call; offer paid involvement","Legitimacy on equity","Public campaign founders"
"Birthrights","UK","Charity","3 Clinical","Human rights in maternity; safeguarding and consent expertise","Consent and rights review","Paid review; co-design","Chief Executive; Head of Policy","Advisory","7","Email","Consent architecture credibility",""
"Wellbeing of Women","UK","Charity / funder","7 Funding","Funds women's health research","Research funding; endorsement of study design","Study proposal","Director of Research","Grant","6","Apply when call opens","Funding",""
"Maternal Mental Health Alliance","UK","Charity network","3 Clinical","Perinatal mental health network","Postpartum module design","Routing to services; data","Chief Executive; Policy lead","Advisory","7","Email","Postpartum year design",""
"Sands","UK","Charity","3 Clinical","Bereavement; safety","Safety and sensitivity review","Content review","Head of Research and Prevention","Advisory","5","Email","Safety design",""
"PRSB (Professional Record Standards Body)","UK","Standards body","2 Technology","Sets record standards incl. maternity","Standards alignment; minimum dataset","Implementation feedback","Clinical Director; Programme lead","Engagement","6","Email","Interoperability credibility",""
"Health Data Research UK (HDR UK)","UK","Data institute","4 Data","Trusted research environments; data access","Cohort governance advice; TRE partnership","New perinatal dataset","Director of Infrastructure / Perinatal data lead","Research","6","Email","Data moat governance",""
