"investor_name","investor_type","subcategory","country","city","website","linkedin_url","phone_investment_team","phone_office","phone_investor_relations","phone_source_url","phone_verification_status","email_investment","email_general","email_source_url","investment_focus","healthcare_focus","technology_focus","geography_focus","investment_stage","typical_ticket","fund_size_or_aum","relevant_portfolio","decision_maker_name","decision_maker_role","decision_maker_source_url","contact_route","warm_intro_possibility","source_urls","last_verified","notes","why_investor_for_vytalix","likely_objection","pitch_angle","sector_fit_20","stage_fit_15","ticket_fit_15","geo_fit_10","strategic_fit_15","maternalink_fit_10","accessibility_5","network_value_10","c_phone_3","c_direct_route_2","c_named_dm_1","c_email_1","c_linkedin_1","c_warm_intro_1","c_info_quality_1"
"Goddess Gaia Ventures","Venture Capital","Women's-health / femtech VC (pre-Series A)","United Kingdom","London","https://www.ggventuresgroup.com/","https://uk.linkedin.com/company/goddess-gaia-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.ggventuresgroup.com/contact-8","Female-founded pre-Series A fund investing in '360' solutions across female health, wellness, sport and femtech; also runs a women's-health donor-advised fund (DAF) alongside the venture fund","Yes – exclusively women's health, wellness and femtech (fertility, menopause, oncology, maternal, mental health)","Digital health, consumer health, diagnostics, devices and services for women","UK and Europe (some global)","Pre-seed, seed, pre-Series A","ESTIMATE £100k–£500k (not published; confirm)","Not publicly disclosed (small first-time fund; TO VALIDATE)","Portfolio page lists early-stage women's-health companies (see https://www.ggventuresgroup.com/portfolio); specific names TO VALIDATE","Priya Oberoi","Founder & General Partner – confirm on team page","https://www.ggventuresgroup.com/team","Web contact form: https://www.ggventuresgroup.com/contact-8; LinkedIn to Priya Oberoi","Possible – via UK femtech community events (Femtech Lab, Women of Wearables) where the GP speaks","https://www.ggventuresgroup.com/contact-8;https://www.ggventuresgroup.com/team;https://www.ggventuresgroup.com/;https://uk.linkedin.com/company/goddess-gaia-ventures;https://app.dealroom.co/companies/goddess_gaia_ventures;https://www.crunchbase.com/organization/goddess-gaia-ventures","2026-09-07","Registered office shown in search result as 35 Berkeley Square, London W1J 6ER (from official site). Two domains in use: ggventuresgroup.com and goddessgaiaventures.com. No phone or email surfaced in official search results on 2026-09-07. Founder Priya Oberoi is a cancer survivor and IVF mother – mission-driven.","The only UK-based fund investing exclusively in women's health at pre-Series A, so MaternaLink's Black-maternal-health focus fits its mandate directly.","Vytalix is pre-incorporation with unresolved MaternaLink IP ownership and no clinical partner, which a small fund cannot underwrite.","Lead with the MBRRACE-UK disparity data and a concrete NHS maternity pilot plan, positioning MaternaLink as a care-coordination product with a UK-first path.","17","13","12","10","10","10","3","6","0","2","1","0","1","1","1"
"RH Capital (Rhia Ventures)","Venture Capital","Impact women's-health VC fund managed by a non-profit","United States","San Francisco","https://rhcapital.vc/","https://www.linkedin.com/company/rhiaventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","info@rhiaventures.org","https://rhiaventures.org/contact/","Early-stage companies transforming women's health and reproductive health with a health-equity lens; RH Capital is the venture arm of non-profit Rhia Ventures","Yes – exclusively women's/reproductive health: contraception, maternal health, menopause, sexual health, health equity","Digital health, diagnostics, therapeutics, devices, care-delivery models","Primarily United States","Seed to Series A (some pre-seed)","ESTIMATE $250k–$1.5m (confirm on FAQs page)","RH Capital Fund II ~$40m (2022) – TO VALIDATE","Maternal-health and reproductive-health startups (e.g., Cayaba Care, Pomelo Care, Twentyeight Health – TO VALIDATE current list at https://rhcapital.vc/)","Elizabeth Bailey","Managing Director, RH Capital – confirm on team page","https://rhcapital.vc/team/","Web contact: https://rhcapital.vc/contact/; email info@rhiaventures.org","Possible – via maternal-health equity networks and Rhia's ecosystem-building programme","https://rhiaventures.org/contact/;https://rhcapital.vc/contact/;https://rhcapital.vc/team/;https://rhcapital.vc/faqs/;https://rhiaventures.org/rhcapital/;https://www.linkedin.com/company/rhiaventures","2026-09-07","Address on official contact page: 2261 Market Street, Ste 85144, San Francisco, CA 94114. No phone on official pages (checked 2026-09-07). Strong Black-maternal-health equity thesis – the closest US thesis match for MaternaLink, but US-centric.","RH Capital's explicit maternal-health and health-equity mandate mirrors MaternaLink's focus on reducing disparities for Black mothers.","The fund invests almost exclusively in US companies serving US patients, so a UK/Nigeria-first startup is outside its geography.","Position MaternaLink as a UK/African maternal-equity platform whose learnings translate to the US, and ask for advice and co-investor introductions before capital.","18","12","11","4","9","10","3","7","0","2","1","1","1","1","1"
"Portfolia FemTech Fund","Venture Capital","Investor-network fund series (women investors) – FemTech and Women's Health funds","United States","San Mateo, CA","https://www.portfolia.co/","https://www.linkedin.com/company/portfolia","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","https://www.portfolia.co/funds-overview","Series of themed venture funds backed by thousands of women LPs; FemTech Fund(s) invest in technologies, products and services improving women's health across the life course; also Active Aging & Longevity, Rising America and other funds","Yes – FemTech / women's-health funds; other funds partly health-related","Digital health, medtech, consumer health, diagnostics","United States primarily; occasional international","Seed to Series B (typically Series A)","ESTIMATE $250k–$1m per company","FemTech Fund I and II each in the ~$10m–$20m range (ESTIMATE; TO VALIDATE)","Women's-health companies across fertility, menopause, pelvic health and maternal care (see https://www.portfolia.co/closed-funds)","Trish Costello","Founder & CEO – confirm on team page","https://www.portfolia.co/our-story","Web contact form on portfolia.co (entrepreneur submission); LinkedIn to fund leads","Possible – via a Portfolia LP (women investors network) or portfolio founder","https://www.portfolia.co/funds-overview;https://www.portfolia.co/closed-funds;https://www.portfolia.co/our-story;https://www.portfolia.co/;https://www.linkedin.com/company/portfolia","2026-09-07","Search results referenced investorrelations@portfolia.com (LP relations, not for pitches; source not clearly official – verify). No phone on official pages (checked 2026-09-07). Fund vintage status (open vs fully invested) TO VALIDATE before outreach.","Portfolia's FemTech funds are purpose-built for women's-health ventures and its LP base of women investors values maternal-equity missions.","Portfolia funds typically enter at Series A with US traction, and Vytalix has no product in market or revenue.","Ask to join the pipeline for a future FemTech fund and use its LP network for angel interest, presenting MaternaLink as a UK-validated maternal-care platform.","16","9","11","4","7","9","3","6","0","2","1","0","1","1","1"
"SteelSky Ventures","Venture Capital","Women's-health VC (largest women's-health-only fund in US)","United States","Atlanta, GA","https://steelskyventures.com/","https://www.linkedin.com/company/steelsky-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Companies improving access to care, medical outcomes and health infrastructure for women; $73m Fund I (2022)","Yes – exclusively women's health, including maternal health, fertility, menopause and chronic conditions affecting women","Digital health, medical devices, diagnostics, care delivery","United States (some international consideration)","Seed to Series B","ESTIMATE $500k–$3m","$73m Fund I (announced March 2022)","Maternal and women's-health companies (portfolio at steelskyventures.com – TO VALIDATE names)","Maria Toler Velissaris","Founding & Managing Partner – confirm on team page","https://www.linkedin.com/company/steelsky-ventures","Website contact form at steelskyventures.com; LinkedIn to Maria Toler Velissaris","Possible – via US women's-health founder networks","https://www.globenewswire.com/news-release/2022/03/23/2408810/0/en/SteelSky-Ventures-Raises-Largest-Women-s-Health-VC-Fund.html;https://www.linkedin.com/company/steelsky-ventures;https://www.geekwire.com/2022/this-women-led-vc-firm-wants-to-address-a-huge-gap-in-funding-for-womens-health-startups/","2026-09-07","Search results mention contact@steelskyventures.com but the source was not clearly the official site – verify on official contact page before use. No phone or street address in official results (checked 2026-09-07).","SteelSky's mandate to fund improved maternal and women's-health outcomes fits MaternaLink's purpose exactly.","SteelSky deploys larger cheques into US companies with clinical traction, whereas Vytalix is UK/Nigeria pre-seed.","Frame MaternaLink as an international maternal-health platform and seek a relationship for a later round plus introductions to US maternal-care operators.","17","9","8","4","8","10","2","7","0","1","1","0","1","1","1"
"Coyote Ventures","Venture Capital","Women's-health and wellness seed VC","United States","San Francisco","https://www.coyote.ventures/","https://www.linkedin.com/company/coyote-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Pre-seed and seed investments in women's health and wellness companies (founded 2021)","Yes – exclusively women's health and wellness: fertility, maternal, menopause, sexual health, chronic conditions","Digital health, consumer health, diagnostics, femtech devices","United States primarily","Pre-seed and seed","ESTIMATE $100k–$500k","Small emerging-manager fund (ESTIMATE <$20m; TO VALIDATE)","Early-stage women's-health startups (see https://www.coyote.ventures/)","Jessica Karr","Co-founder & General Partner – confirm on team page","https://www.coyote.ventures/team","Website (coyote.ventures) pitch/contact; LinkedIn to Jessica Karr or Dr. Brittany Barreto","Possible – via FemTech Focus podcast/community run by co-founder Dr. Brittany Barreto","https://www.coyote.ventures/;https://www.coyote.ventures/team;https://www.crunchbase.com/organization/coyote-ventures;https://superscout.co/investor/coyote-ventures","2026-09-07","Address 185 Banks Street, San Francisco, CA 94110 appeared in a search result (source not confirmed as official). No phone found (checked 2026-09-07). Pre-seed appetite makes it one of the few women's-health funds at Vytalix's stage.","Coyote is one of the few women's-health-only funds writing pre-seed cheques, matching Vytalix's stage.","Its focus is US consumer-facing women's health, not UK NHS or Nigerian government maternal programmes.","Pitch the global maternal-equity opportunity and the FemTech Focus community's interest in maternal health, requesting a small pre-seed participation or intro to co-investors.","16","14","12","4","6","9","3","5","0","1","1","0","1","1","1"
"Amboy Street Ventures","Venture Capital","Women's-health and sexual-health VC (seed/Series A)","United States","Los Angeles","https://www.amboystreet.vc/","https://www.linkedin.com/company/amboy-street-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Seed and Series A investments in women's health and sexual wellbeing: fertility, menopause, maternal health, LGBTQ+ health, menstruation, hormonal, sexual health, contraception","Yes – exclusively women's health and sexual health","Digital health, devices, diagnostics, consumer health","United States and Europe (invests cross-border)","Seed and Series A","$100k–$5m (sweet spot ~$1.5m per directory listing – TO VALIDATE)","Fund I ~$20m (ESTIMATE; TO VALIDATE)","Evvy, Hey Jane, Contraline (all from official news pages)","Carli Sapir","Founding Partner – confirm on team page","https://www.amboystreet.vc/team","Web contact page: https://www.amboystreet.vc/contact; LinkedIn to Carli Sapir","Possible – via European femtech founders (fund has UK/EU links through its founding team)","https://www.amboystreet.vc/contact;https://www.amboystreet.vc/team;https://www.amboystreet.vc/portfolio;https://www.amboystreet.vc/;https://www.linkedin.com/company/amboy-street-ventures","2026-09-07","Explicitly lists maternal health among focus areas. No phone or email displayed in official search results (checked 2026-09-07); contact page exists. Founding team has London/Europe ties – potential UK openness (TO VALIDATE).","Amboy Street names maternal health as a core theme and states it invests cross-border, so a UK maternal-care platform is in scope.","Vytalix has no product in production and no clinical evidence, while Amboy Street's sweet spot is post-launch seed rounds.","Present MaternaLink as the first maternal-equity platform bridging UK and African markets and offer early data-sharing in exchange for a pre-seed cheque or a later-round relationship.","17","11","11","6","7","10","3","6","0","2","1","0","1","1","1"
"Avestria Ventures","Venture Capital","Women's-health and life-sciences early-stage VC","United States","San Francisco Bay Area / Beverly Hills","https://www.avestria.vc/","https://www.linkedin.com/company/avestria-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Early-stage women's-health and life-science companies, with an emphasis on women-led enterprises; defines women's health as conditions affecting women exclusively, differently or disproportionately","Yes – exclusively women's health and life sciences","Digital health, diagnostics, therapeutics, devices","United States primarily","Seed and Series A","ESTIMATE $250k–$1m","Not publicly disclosed (small fund; TO VALIDATE)","Women's-health and life-science startups (see avestria.vc)","Linda Greub","Co-founder & Managing Partner – confirm on team page","https://www.avestria.vc/","Entrepreneurs page: https://www.avestria.vc/entrepreneurs (submission); LinkedIn to Linda Greub","No known route","https://www.avestria.vc/;https://www.avestria.vc/entrepreneurs;https://www.linkedin.com/company/avestria-ventures;https://www.crunchbase.com/organization/avestria-ventures","2026-09-07","No phone, email or address on official search results (checked 2026-09-07). Emphasis on women-led companies – Vytalix's founder profile TO VALIDATE against that preference.","Avestria's whole thesis is women's health at seed, so MaternaLink is within mandate.","The firm favours women-led US companies with scientific validation, and Vytalix is a UK/Nigeria concept-stage venture.","Highlight the disproportionate maternal-risk burden on Black women as a 'differently/disproportionately' women's-health problem and ask for feedback and co-investor referrals.","16","11","11","4","6","9","3","5","0","2","1","0","1","0","1"
"Female Founders Fund","Venture Capital","Seed VC investing exclusively in female-founded companies (health is a core vertical)","United States","New York","https://femalefoundersfund.com/","https://www.linkedin.com/company/f-cubed-female-founders-fund-","","","","","PHONE NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Seed-stage female-founded companies across healthcare, fintech, consumer, B2B software; founded 2013","Partial – health (including women's health, e.g., Maven Clinic) is one of its strongest verticals","Software, digital health, consumer platforms","United States primarily","Seed (some pre-seed and Series A follow-on)","ESTIMATE $500k–$1.5m","Fund III $57m (2021) – TO VALIDATE","Maven Clinic (women's and family health); other digital-health companies","Anu Duggal","Founding Partner – confirm on team page","https://femalefoundersfund.com/","Website submission form at femalefoundersfund.com; LinkedIn to Anu Duggal","No known route","https://femalefoundersfund.com/;https://www.linkedin.com/company/f-cubed-female-founders-fund-;https://www.crunchbase.com/organization/female-founders-fund","2026-09-07","Requires a female founder – only relevant if Vytalix has a female co-founder/CEO (TO VALIDATE). No phone on official pages (checked 2026-09-07); addresses in results came from scraped directories and were not recorded.","Female Founders Fund backed Maven Clinic and understands women's/family-health platforms at seed.","The fund only invests in female-founded companies and focuses on the US, so eligibility depends on Vytalix's founding team.","Only approach if a female co-founder leads; then pitch MaternaLink as the 'Maven for underserved mothers' in UK and Africa.","13","13","11","4","6","7","2","6","0","1","1","0","1","0","1"
"Halogen Ventures","Venture Capital","Early-stage VC for female-founded consumer tech (incl. women's health)","United States","Los Angeles","https://www.halogenvc.com/","https://www.linkedin.com/company/halogen-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Pre-seed/seed consumer technology companies with a female founder; founded by Jesse Draper","Partial – women's-health and family-health consumer companies are a recurring theme","Consumer tech, marketplaces, digital health apps","United States","Pre-seed and seed","ESTIMATE $250k–$1m","Fund II ~$21m (ESTIMATE; TO VALIDATE)","Consumer women's/family-health companies (TO VALIDATE current names)","Jesse Draper","Founding Partner – confirm on team page","https://www.halogenvc.com/","Website contact/pitch form at halogenvc.com; LinkedIn to Jesse Draper","No known route","","Unverified (prior knowledge)","Female-founder requirement and US consumer focus limit fit. Not checked this session.","Halogen writes pre-seed cheques for consumer health companies serving women and families.","Vytalix's B2G/B2B health-system model and UK/Nigeria geography sit outside Halogen's US consumer thesis.","Only relevant with a female founder; pitch the mother-facing app layer of MaternaLink as a consumer product with health-system distribution.","11","13","11","4","4","6","2","4","0","1","1","0","1","0","0"
"Emmeline Ventures","Venture Capital","Seed VC for women's health, wealth and environment (women-led fund)","United States","Los Angeles / New York","https://www.emmelineventures.com/","https://www.linkedin.com/company/emmeline-ventures","","","","","PHONE NOT PUBLICLY AVAILABLE (not checked this session – verify on official contact page)","NOT PUBLICLY AVAILABLE","NOT PUBLICLY AVAILABLE","","Seed-stage investments helping women manage their health, build wealth and live in a cleaner world; women's health is the largest theme","Yes – women's health including maternal care, fertility and menopause","Digital health, consumer health, diagnostics","United States primarily","Pre-seed and seed","ESTIMATE $100k–$500k","Not publicly disclosed (emerging manager; TO VALIDATE)","Early women's-health startups (TO VALIDATE on official site)","Naseem Sayani","Co-founder & General Partner – confirm on team page","https://www.emmelineventures.com/","Website contact/pitch form at emmelineventures.com; LinkedIn to Naseem Sayani","No known route","","Unverified (prior knowledge)","Prior knowledge only; not checked this session. GP is active in women's-health investor community (e.g., co-authored women's-health investing content).","Emmeline's seed cheques target women's-health companies where maternal care is a stated priority.","US focus and small fund size make a UK/Nigeria pre-seed company an unusual first international bet.","Ask for a conversation on maternal-health equity and a possible small participation alongside a UK lead.","15","13","11","4","5","9","2","4","0","1","1","0","1","0","0"
